"country","city"
"Philippines","Bislig"
"Poland","Kalisz"
"Poland","Plock"
"Poland","Czestochowa"
"Poland","Jastrzebie-Zdrj"
"Poland","Lublin"
"Poland","Tychy"
"Poland","Wroclaw"
"Poland","Bydgoszcz"
"Puerto Rico","Arecibo"
"Puerto Rico","Ponce"
"Romania","Bucuresti"
"Romania","Botosani"
"Runion","Saint-Denis"
"Russian Federation","Atinsk"
"Russian Federation","Ivanovo"
"Russian Federation","Korolev"
"Russian Federation","Jaroslavl"
"Russian Federation","Balaiha"
"Russian Federation","Novoterkassk"
"Russian Federation","Niznekamsk"
"Russian Federation","Pjatigorsk"
"Russian Federation","Usolje-Sibirskoje"
"Russian Federation","Jelets"
"Russian Federation","Nabereznyje Telny"
"Russian Federation","Kaliningrad"
"Russian Federation","Moscow"
"Russian Federation","Elista"
"Russian Federation","Kamyin"
"Russian Federation","Teboksary"
"Russian Federation","Dzerzinsk"
"Russian Federation","Zeleznogorsk"
"Russian Federation","Kursk"
"Russian Federation","Serpuhov"
"Russian Federation","Kurgan"
"Russian Federation","Maikop"
"Russian Federation","Kirovo-Tepetsk"
"Russian Federation","Syktyvkar"
"Russian Federation","Kolpino"
"Russian Federation","Ljubertsy"
"Russian Federation","Smolensk"
"Russian Federation","Lipetsk"
"Saint Vincent and the Grenadines","Kingstown"
"Saudi Arabia","Abha"
"Saudi Arabia","al-Hawiya"
"Saudi Arabia","Tabuk"
"Saudi Arabia","al-Qatif"
"Saudi Arabia","Jedda"
"Senegal","Ziguinchor"
"Slovakia","Bratislava"
"South Africa","Botshabelo"
"South Africa","Chatsworth"
"South Africa","Paarl"
"South Africa","Kimberley"
"South Africa","Springs"
"South Africa","Soshanguve"
"South Africa","Rustenburg"
"South Africa","Johannesburg"
"South Africa","Klerksdorp"
"South Africa","Boksburg"
"South Africa","Newcastle"
"South Korea","Uijongbu"
"South Korea","Tonghae"
"South Korea","Naju"
"South Korea","Cheju"
"South Korea","Kimchon"
"Spain","Santiago de Compostela"
"Spain","Donostia-San Sebastin"
"Spain","Ourense (Orense)"
"Spain","A Corua (La Corua)"
"Spain","Gijn"
"Sri Lanka","Jaffna"
"Sudan","Omdurman"
"Sudan","al-Qadarif"
"Sweden","Malm"
"Switzerland","Basel"
"Switzerland","Bern"
"Switzerland","Lausanne"
"Taiwan","Fengshan"
"Taiwan","Tanshui"
"Taiwan","Chiayi"
"Taiwan","Nantou"
"Taiwan","Chungho"
"Taiwan","Lungtan"
"Taiwan","Hsichuh"
"Taiwan","Tsaotun"
"Taiwan","Touliu"
"Taiwan","Changhwa"
"Tanzania","Tabora"
"Tanzania","Mwanza"
"Tanzania","Zanzibar"
"Thailand","Nakhon Sawan"
"Thailand","Pak Kret"
"Thailand","Songkhla"
"Tonga","Nukualofa"
"Tunisia","Sousse"
"Turkey","Eskisehir"
"Turkey","Sivas"
"Turkey","Sultanbeyli"
"Turkey","Denizli"
"Turkey","Tarsus"
"Turkey","Tokat"
"Turkey","Gaziantep"
"Turkey","Inegl"
"Turkey","Usak"
"Turkey","Osmaniye"
"Turkey","Batman"
"Turkey","Adana"
"Turkey","Balikesir"
"Turkey","Kilis"
"Turkey","Ktahya"
"Turkmenistan","Ashgabat"
"Tuvalu","Funafuti"
"Ukraine","Kamjanets-Podilskyi"
"Ukraine","Mukateve"
"Ukraine","Simferopol"
"Ukraine","Sumy"
"Ukraine","Konotop"
"Ukraine","ostka"
"United Arab Emirates","al-Ayn"
"United Arab Emirates","Sharja"
"United Arab Emirates","Abu Dhabi"
"United Kingdom","Southend-on-Sea"
"United Kingdom","Southampton"
"United Kingdom","Southport"
"United Kingdom","Stockport"
"United Kingdom","London"
"United Kingdom","Bradford"
"United Kingdom","York"
"United Kingdom","Dundee"
"United States","Grand Prairie"
"United States","Saint Louis"
"United States","Lincoln"
"United States","Rockford"
"United States","Roanoke"
"United States","El Monte"
"United States","Clarksville"
"United States","Fontana"
"United States","Garden Grove"
"United States","Garland"
"United States","Cape Coral"
"United States","Compton"
"United States","Bellevue"
"United States","Sunnyvale"
"United States","Greensboro"
"United States","Peoria"
"United States","Manchester"
"United States","Citrus Heights"
"United States","Aurora"
"United States","Augusta-Richmond County"
"United States","Warren"
"United States","Sterling Heights"
"United States","Arlington"
"United States","Joliet"
"United States","Akron"
"United States","Kansas City"
"United States","Lancaster"
"United States","Memphis"
"United States","Dallas"
"United States","Dayton"
"United States","Tallahassee"
"United States","Laredo"
"United States","San Bernardino"
"United States","Brockton"
"United States","Salinas"
"Venezuela","Maracabo"
"Venezuela","Valle de la Pascua"
"Venezuela","Ocumare del Tuy"
"Venezuela","Barcelona"
"Venezuela","Valencia"
"Venezuela","Cuman"
"Venezuela","Caracas"
"Vietnam","Nha Trang"
"Vietnam","Haiphong"
"Vietnam","Nam Dinh"
"Vietnam","Hanoi"
"Vietnam","Cam Ranh"
"Vietnam","Vinh"
"Virgin Islands, U.S.","Charlotte Amalie"
"Yemen","Hodeida"
"Yemen","Sanaa"
"Yemen","Aden"
"Yemen","Taizz"
"Yugoslavia","Kragujevac"
"Yugoslavia","Novi Sad"
"Zambia","Kitwe"
