"customer_id","total_transactions"
593,"24"
411,"24"
495,"24"
215,"24"
456,"24"
546,"24"
445,"24"
537,"24"
155,"24"
199,"24"
339,"24"
517,"24"
585,"24"
582,"24"
337,"24"
289,"24"
98,"24"
527,"24"
590,"24"
82,"24"
286,"24"
225,"24"
516,"24"
385,"24"
49,"24"
280,"23"
594,"23"
100,"23"
508,"23"
553,"23"
357,"23"
296,"23"
435,"23"
170,"23"
285,"23"
231,"23"
486,"23"
340,"23"
233,"23"
77,"23"
232,"23"
433,"23"
510,"23"
414,"23"
294,"23"
343,"23"
507,"23"
142,"23"
8,"23"
14,"23"
11,"23"
536,"23"
240,"23"
24,"23"
235,"23"
329,"23"
123,"23"
99,"23"
156,"23"
521,"23"
392,"23"
177,"23"
243,"23"
531,"23"
427,"23"
597,"23"
583,"23"
193,"23"
283,"23"
351,"23"
69,"23"
101,"23"
276,"23"
453,"23"
493,"22"
127,"22"
359,"22"
335,"22"
415,"22"
60,"22"
192,"22"
511,"22"
488,"22"
557,"22"
284,"22"
227,"22"
341,"22"
68,"22"
382,"22"
455,"22"
290,"22"
130,"22"
73,"22"
150,"22"
287,"22"
183,"22"
417,"22"
598,"22"
387,"22"
541,"22"
475,"22"
261,"22"
43,"22"
336,"22"
180,"22"
352,"22"
364,"22"
331,"22"
216,"22"
571,"22"
4,"22"
104,"22"
324,"22"
333,"22"
409,"22"
519,"22"
83,"22"
562,"22"
466,"22"
201,"22"
596,"22"
105,"22"
224,"22"
564,"22"
534,"22"
431,"22"
292,"22"
490,"22"
530,"22"
345,"21"
443,"21"
226,"21"
298,"21"
81,"21"
85,"21"
551,"21"
44,"21"
278,"21"
369,"21"
379,"21"
319,"21"
76,"21"
106,"21"
514,"21"
477,"21"
217,"21"
350,"21"
268,"21"
37,"21"
440,"21"
578,"21"
460,"21"
189,"21"
269,"21"
62,"21"
568,"21"
365,"21"
384,"21"
293,"21"
299,"21"
358,"20"
312,"20"
430,"20"
169,"20"
9,"20"
528,"20"
252,"20"
67,"20"
543,"20"
93,"20"
184,"20"
523,"20"
554,"20"
539,"20"
88,"20"
212,"20"
552,"20"
432,"20"
567,"20"
143,"20"
547,"20"
165,"20"
420,"20"
544,"20"
33,"20"
185,"20"
367,"20"
65,"20"
375,"20"
394,"20"
118,"20"
338,"20"
305,"20"
437,"20"
476,"20"
307,"20"
282,"20"
395,"19"
249,"19"
322,"19"
478,"19"
238,"19"
316,"19"
18,"19"
496,"19"
304,"19"
545,"19"
370,"19"
94,"19"
203,"19"
195,"19"
109,"19"
270,"19"
355,"19"
428,"19"
401,"19"
152,"19"
480,"19"
327,"19"
79,"19"
22,"19"
458,"19"
501,"19"
505,"19"
308,"19"
402,"19"
303,"19"
413,"19"
489,"19"
55,"19"
47,"19"
288,"19"
134,"19"
247,"19"
174,"19"
330,"18"
399,"18"
97,"18"
246,"18"
509,"18"
17,"18"
191,"18"
255,"18"
599,"18"
205,"18"
19,"18"
325,"18"
525,"18"
326,"18"
556,"18"
140,"18"
378,"18"
218,"18"
524,"17"
555,"17"
162,"17"
328,"17"
586,"17"
159,"17"
70,"17"
321,"17"
412,"17"
449,"17"
117,"17"
95,"17"
353,"17"
291,"17"
483,"17"
223,"16"
549,"16"
222,"16"
548,"16"
542,"16"
313,"16"
429,"16"
194,"16"
344,"16"
271,"16"
465,"16"
250,"15"
398,"15"
492,"15"
320,"15"
311,"15"
301,"15"
164,"15"
48,"14"
315,"14"
124,"14"
136,"14"
464,"14"
272,"13"
248,"13"
310,"13"
61,"13"
110,"12"
281,"10"
318,"7"
